Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_correct,Number_missing,Number_spurious,Number_overlap,Strict_precision,Strict_recall,Strict_F1,Lenient_F1,Average_F1,Elapsed_Time_training,Elapsed_Time_testing
[amateur_unit],2,7,Paum,accident,a,20110516_142800,1,0,4,0,0.2,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,26417,2351
[amateur_unit],2,8,Paum,accident,a,20110516_142800,2,0,3,0,0.4,1.0,0.5714285714285715,0.5714285714285715,0.5714285714285715,26417,2351
[amateur_unit],2,9,Paum,accident,a,20110516_142800,6,0,3,0,0.6666666666666666,1.0,0.8,0.8,0.8,26417,2351
[amateur_unit],2,10,Paum,accident,a,20110516_142800,6,0,1,0,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.923076923076923,26417,2351
[amateur_unit],2,1,ILP_config_NE_roots,accident,a,20110516_142800,2,0,0,0,1.0,1.0,1.0,1.0,1.0,46319,6207
[amateur_unit],2,2,ILP_config_NE_roots,accident,a,20110516_142800,3,0,0,0,1.0,1.0,1.0,1.0,1.0,46319,6207
[amateur_unit],2,3,ILP_config_NE_roots,accident,a,20110516_142800,3,0,0,0,1.0,1.0,1.0,1.0,1.0,46319,6207
[amateur_unit],2,4,ILP_config_NE_roots,accident,a,20110516_142800,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,46319,6207
[amateur_unit],2,5,ILP_config_NE_roots,accident,a,20110516_142800,0,3,0,0,1.0,0.0,0.0,0.0,0.0,46319,6207
[amateur_unit],2,6,ILP_config_NE_roots,accident,a,20110516_142800,0,0,0,0,1.0,1.0,1.0,1.0,1.0,46319,6207
[amateur_unit],2,7,ILP_config_NE_roots,accident,a,20110516_142800,0,1,0,0,1.0,0.0,0.0,0.0,0.0,46319,6207
[amateur_unit],2,8,ILP_config_NE_roots,accident,a,20110516_142800,2,0,3,0,0.4,1.0,0.5714285714285715,0.5714285714285715,0.5714285714285715,46319,6207
[amateur_unit],2,9,ILP_config_NE_roots,accident,a,20110516_142800,6,0,0,0,1.0,1.0,1.0,1.0,1.0,46319,6207
[amateur_unit],2,10,ILP_config_NE_roots,accident,a,20110516_142800,6,0,1,0,0.8571428571428571,1.0,0.923076923076923,0.923076923076923,0.923076923076923,46319,6207
[amateur_unit],2,1,ILP_config,accident,a,20110516_142800,2,0,0,0,1.0,1.0,1.0,1.0,1.0,233106,7255
[amateur_unit],2,2,ILP_config,accident,a,20110516_142800,2,0,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333333,233106,7255
[amateur_unit],2,3,ILP_config,accident,a,20110516_142800,3,0,0,0,1.0,1.0,1.0,1.0,1.0,233106,7255
[amateur_unit],2,4,ILP_config,accident,a,20110516_142800,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,233106,7255
[amateur_unit],2,5,ILP_config,accident,a,20110516_142800,0,3,0,0,1.0,0.0,0.0,0.0,0.0,233106,7255
[amateur_unit],2,6,ILP_config,accident,a,20110516_142800,0,0,0,0,1.0,1.0,1.0,1.0,1.0,233106,7255
[amateur_unit],2,7,ILP_config,accident,a,20110516_142800,0,1,0,0,1.0,0.0,0.0,0.0,0.0,233106,7255
[amateur_unit],2,8,ILP_config,accident,a,20110516_142800,2,0,3,0,0.4,1.0,0.5714285714285715,0.5714285714285715,0.5714285714285715,233106,7255
[amateur_unit],2,9,ILP_config,accident,a,20110516_142800,6,0,0,0,1.0,1.0,1.0,1.0,1.0,233106,7255
[amateur_unit],2,10,ILP_config,accident,a,20110516_142800,6,0,0,0,1.0,1.0,1.0,1.0,1.0,233106,7255
[amateur_unit],3,1,Paum,accident,a,20110516_143910,4,1,0,0,1.0,0.8,0.888888888888889,0.888888888888889,0.888888888888889,28718,2286
[amateur_unit],3,2,Paum,accident,a,20110516_143910,1,0,1,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,28718,2286
[amateur_unit],3,3,Paum,accident,a,20110516_143910,3,0,0,0,1.0,1.0,1.0,1.0,1.0,28718,2286
[amateur_unit],3,4,Paum,accident,a,20110516_143910,3,0,2,0,0.6,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,28718,2286
[amateur_unit],3,5,Paum,accident,a,20110516_143910,4,1,1,0,0.8,0.8,0.8000000000000002,0.8000000000000002,0.8000000000000002,28718,2286
[amateur_unit],3,6,Paum,accident,a,20110516_143910,1,0,3,0,0.25,1.0,0.4,0.4,0.4,28718,2286
[amateur_unit],3,7,Paum,accident,a,20110516_143910,0,0,3,0,0.0,1.0,0.0,0.0,0.0,28718,2286
[amateur_unit],3,8,Paum,accident,a,20110516_143910,0,0,1,0,0.0,1.0,0.0,0.0,0.0,28718,2286
[amateur_unit],3,9,Paum,accident,a,20110516_143910,8,0,5,0,0.6153846153846154,1.0,0.761904761904762,0.761904761904762,0.761904761904762,28718,2286
[amateur_unit],3,10,Paum,accident,a,20110516_143910,5,0,4,0,0.5555555555555556,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,28718,2286
[amateur_unit],3,1,ILP_config,accident,a,20110516_143910,3,1,0,1,0.75,0.6,0.6666666666666665,0.888888888888889,0.7777777777777777,277501,7235
[amateur_unit],3,2,ILP_config,accident,a,20110516_143910,1,0,1,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,277501,7235
[amateur_unit],3,3,ILP_config,accident,a,20110516_143910,3,0,0,0,1.0,1.0,1.0,1.0,1.0,277501,7235
[amateur_unit],3,4,ILP_config,accident,a,20110516_143910,3,0,2,0,0.6,1.0,0.7499999999999999,0.7499999999999999,0.7499999999999999,277501,7235
[amateur_unit],3,5,ILP_config,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,277501,7235
[amateur_unit],3,6,ILP_config,accident,a,20110516_143910,0,1,0,0,1.0,0.0,0.0,0.0,0.0,277501,7235
[amateur_unit],3,7,ILP_config,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,277501,7235
[amateur_unit],3,8,ILP_config,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,277501,7235
[amateur_unit],3,9,ILP_config,accident,a,20110516_143910,8,0,4,0,0.6666666666666666,1.0,0.8,0.8,0.8,277501,7235
[amateur_unit],3,10,ILP_config,accident,a,20110516_143910,4,0,0,1,0.8,0.8,0.8000000000000002,1.0,0.9000000000000001,277501,7235
[amateur_unit],3,1,ILP_config_NE_roots_subtree,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,76924,6223
[amateur_unit],3,2,ILP_config_NE_roots_subtree,accident,a,20110516_143910,1,0,0,0,1.0,1.0,1.0,1.0,1.0,76924,6223
[amateur_unit],3,3,ILP_config_NE_roots_subtree,accident,a,20110516_143910,3,0,1,0,0.75,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,76924,6223
[amateur_unit],3,4,ILP_config_NE_roots_subtree,accident,a,20110516_143910,3,0,0,0,1.0,1.0,1.0,1.0,1.0,76924,6223
[amateur_unit],3,5,ILP_config_NE_roots_subtree,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,76924,6223
[amateur_unit],3,6,ILP_config_NE_roots_subtree,accident,a,20110516_143910,0,1,0,0,1.0,0.0,0.0,0.0,0.0,76924,6223
[amateur_unit],3,7,ILP_config_NE_roots_subtree,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,76924,6223
[amateur_unit],3,8,ILP_config_NE_roots_subtree,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,76924,6223
[amateur_unit],3,9,ILP_config_NE_roots_subtree,accident,a,20110516_143910,8,0,3,0,0.7272727272727273,1.0,0.8421052631578948,0.8421052631578948,0.8421052631578948,76924,6223
[amateur_unit],3,10,ILP_config_NE_roots_subtree,accident,a,20110516_143910,2,2,0,1,0.6666666666666666,0.4,0.5,0.7499999999999999,0.625,76924,6223
[amateur_unit],3,1,ILP_config_NE_roots,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,78967,6192
[amateur_unit],3,2,ILP_config_NE_roots,accident,a,20110516_143910,1,0,0,0,1.0,1.0,1.0,1.0,1.0,78967,6192
[amateur_unit],3,3,ILP_config_NE_roots,accident,a,20110516_143910,3,0,0,0,1.0,1.0,1.0,1.0,1.0,78967,6192
[amateur_unit],3,4,ILP_config_NE_roots,accident,a,20110516_143910,3,0,0,0,1.0,1.0,1.0,1.0,1.0,78967,6192
[amateur_unit],3,5,ILP_config_NE_roots,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,78967,6192
[amateur_unit],3,6,ILP_config_NE_roots,accident,a,20110516_143910,0,1,0,0,1.0,0.0,0.0,0.0,0.0,78967,6192
[amateur_unit],3,7,ILP_config_NE_roots,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,78967,6192
[amateur_unit],3,8,ILP_config_NE_roots,accident,a,20110516_143910,0,0,0,0,1.0,1.0,1.0,1.0,1.0,78967,6192
[amateur_unit],3,9,ILP_config_NE_roots,accident,a,20110516_143910,8,0,3,0,0.7272727272727273,1.0,0.8421052631578948,0.8421052631578948,0.8421052631578948,78967,6192
[amateur_unit],3,10,ILP_config_NE_roots,accident,a,20110516_143910,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,78967,6192
[amateur_unit],4,1,ILP_config_NE_roots,accident,a,20110516_144911,5,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,2,ILP_config_NE_roots,accident,a,20110516_144911,2,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,3,ILP_config_NE_roots,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,4,ILP_config_NE_roots,accident,a,20110516_144911,4,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,5,ILP_config_NE_roots,accident,a,20110516_144911,6,0,3,0,0.6666666666666666,1.0,0.8,0.8,0.8,73908,6255
[amateur_unit],4,6,ILP_config_NE_roots,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,7,ILP_config_NE_roots,accident,a,20110516_144911,2,3,0,0,1.0,0.4,0.5714285714285715,0.5714285714285715,0.5714285714285715,73908,6255
[amateur_unit],4,8,ILP_config_NE_roots,accident,a,20110516_144911,3,0,0,0,1.0,1.0,1.0,1.0,1.0,73908,6255
[amateur_unit],4,9,ILP_config_NE_roots,accident,a,20110516_144911,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,73908,6255
[amateur_unit],4,10,ILP_config_NE_roots,accident,a,20110516_144911,0,1,0,0,1.0,0.0,0.0,0.0,0.0,73908,6255
[amateur_unit],4,1,ILP_config_NE_roots_subtree,accident,a,20110516_144911,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,73419,6211
[amateur_unit],4,2,ILP_config_NE_roots_subtree,accident,a,20110516_144911,2,0,0,0,1.0,1.0,1.0,1.0,1.0,73419,6211
[amateur_unit],4,3,ILP_config_NE_roots_subtree,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,73419,6211
[amateur_unit],4,4,ILP_config_NE_roots_subtree,accident,a,20110516_144911,4,0,0,0,1.0,1.0,1.0,1.0,1.0,73419,6211
[amateur_unit],4,5,ILP_config_NE_roots_subtree,accident,a,20110516_144911,6,0,3,0,0.6666666666666666,1.0,0.8,0.8,0.8,73419,6211
[amateur_unit],4,6,ILP_config_NE_roots_subtree,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,73419,6211
[amateur_unit],4,7,ILP_config_NE_roots_subtree,accident,a,20110516_144911,2,3,0,0,1.0,0.4,0.5714285714285715,0.5714285714285715,0.5714285714285715,73419,6211
[amateur_unit],4,8,ILP_config_NE_roots_subtree,accident,a,20110516_144911,3,0,0,0,1.0,1.0,1.0,1.0,1.0,73419,6211
[amateur_unit],4,9,ILP_config_NE_roots_subtree,accident,a,20110516_144911,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,73419,6211
[amateur_unit],4,10,ILP_config_NE_roots_subtree,accident,a,20110516_144911,0,1,0,0,1.0,0.0,0.0,0.0,0.0,73419,6211
[amateur_unit],4,1,Paum,accident,a,20110516_144911,5,0,2,0,0.7142857142857143,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,31946,2294
[amateur_unit],4,2,Paum,accident,a,20110516_144911,2,0,2,0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,31946,2294
[amateur_unit],4,3,Paum,accident,a,20110516_144911,0,0,3,0,0.0,1.0,0.0,0.0,0.0,31946,2294
[amateur_unit],4,4,Paum,accident,a,20110516_144911,4,0,1,0,0.8,1.0,0.888888888888889,0.888888888888889,0.888888888888889,31946,2294
[amateur_unit],4,5,Paum,accident,a,20110516_144911,6,0,5,0,0.5454545454545454,1.0,0.7058823529411764,0.7058823529411764,0.7058823529411764,31946,2294
[amateur_unit],4,6,Paum,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,31946,2294
[amateur_unit],4,7,Paum,accident,a,20110516_144911,3,2,1,0,0.75,0.6,0.6666666666666665,0.6666666666666665,0.6666666666666665,31946,2294
[amateur_unit],4,8,Paum,accident,a,20110516_144911,3,0,0,0,1.0,1.0,1.0,1.0,1.0,31946,2294
[amateur_unit],4,9,Paum,accident,a,20110516_144911,5,0,1,0,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,31946,2294
[amateur_unit],4,10,Paum,accident,a,20110516_144911,1,0,2,0,0.3333333333333333,1.0,0.5,0.5,0.5,31946,2294
[amateur_unit],4,1,ILP_config,accident,a,20110516_144911,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,217640,7241
[amateur_unit],4,2,ILP_config,accident,a,20110516_144911,2,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,3,ILP_config,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,4,ILP_config,accident,a,20110516_144911,4,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,5,ILP_config,accident,a,20110516_144911,6,0,3,0,0.6666666666666666,1.0,0.8,0.8,0.8,217640,7241
[amateur_unit],4,6,ILP_config,accident,a,20110516_144911,0,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,7,ILP_config,accident,a,20110516_144911,3,2,0,0,1.0,0.6,0.7499999999999999,0.7499999999999999,0.7499999999999999,217640,7241
[amateur_unit],4,8,ILP_config,accident,a,20110516_144911,3,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,9,ILP_config,accident,a,20110516_144911,5,0,0,0,1.0,1.0,1.0,1.0,1.0,217640,7241
[amateur_unit],4,10,ILP_config,accident,a,20110516_144911,0,1,0,0,1.0,0.0,0.0,0.0,0.0,217640,7241
[amateur_unit],5,1,ILP_config,accident,a,20110516_145955,7,2,0,0,1.0,0.7777777777777778,0.8750000000000001,0.8750000000000001,0.8750000000000001,251472,7155
[amateur_unit],5,2,ILP_config,accident,a,20110516_145955,3,0,0,0,1.0,1.0,1.0,1.0,1.0,251472,7155
