Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[seller],6,2,Paum,Key,a,20120513_183418,29,93,93,5,0.2283464566929134,0.2283464566929134,0.2283464566929134,0.2677165354330709,0.24803149606299213,-1,-1,10544,10354
[seller],6,1,ILP_config_NE_roots,Key,a,20120513_183418,16,121,46,3,0.24615384615384617,0.11428571428571428,0.15609756097560976,0.18536585365853658,0.17073170731707316,117,300,439438,27017
[seller],6,2,ILP_config_NE_roots,Key,a,20120513_183418,10,113,36,4,0.2,0.07874015748031496,0.11299435028248586,0.1581920903954802,0.13559322033898302,138,300,879843,25528
[sellerabr],7,1,Paum,Key,a,20120513_184450,30,146,142,13,0.16216216216216217,0.15873015873015872,0.16042780748663102,0.2299465240641711,0.19518716577540107,-1,-1,9693,11904
[sellerabr],7,2,Paum,Key,a,20120513_184450,40,192,107,10,0.25477707006369427,0.1652892561983471,0.2005012531328321,0.2506265664160401,0.22556390977443608,-1,-1,9960,11502
[sellerabr],7,1,ILP_config_NE_roots,Key,a,20120513_184450,6,183,29,0,0.17142857142857143,0.031746031746031744,0.05357142857142857,0.05357142857142857,0.05357142857142857,148,300,454611,26417
[sellerabr],7,2,ILP_config_NE_roots,Key,a,20120513_184450,5,237,20,0,0.2,0.02066115702479339,0.03745318352059925,0.03745318352059925,0.03745318352059925,93,300,65820,25801
[acqabr],8,1,Paum,Key,a,20120513_190127,360,283,422,93,0.4114285714285714,0.4891304347826087,0.446927374301676,0.5623836126629422,0.5046554934823091,-1,-1,9575,13232
[acqabr],8,2,Paum,Key,a,20120513_190127,402,223,486,89,0.41146366427840325,0.5630252100840336,0.475458308693081,0.5807214665878179,0.5280898876404494,-1,-1,9881,13516
[acqabr],8,1,ILP_config_NE_roots,Key,a,20120513_190127,134,598,132,4,0.4962962962962963,0.18206521739130435,0.2664015904572565,0.27435387673956263,0.27037773359840955,385,300,728870,27132
[acqabr],8,2,ILP_config_NE_roots,Key,a,20120513_190127,86,626,132,2,0.39090909090909093,0.12044817927170869,0.18415417558886513,0.18843683083511778,0.18629550321199145,453,300,151774,26782
[dlramt],9,1,ILP_config,Key,a,20120513_201421,46,46,41,47,0.34328358208955223,0.33093525179856115,0.33699633699633696,0.6813186813186812,0.5091575091575091,144,300,1647210,30293
[dlramt],9,2,ILP_config,Key,a,20120513_201421,32,54,31,58,0.2644628099173554,0.2222222222222222,0.24150943396226415,0.6792452830188679,0.46037735849056605,139,300,2600977,31324
[dlramt],9,1,Paum,Key,a,20120513_201421,107,23,64,9,0.5944444444444444,0.7697841726618705,0.6708463949843261,0.7272727272727273,0.6990595611285266,-1,-1,9987,9631
[dlramt],9,2,Paum,Key,a,20120513_201421,106,30,52,8,0.6385542168674698,0.7361111111111112,0.6838709677419356,0.7354838709677419,0.7096774193548387,-1,-1,10546,9999
[acquired],10,1,ILP_config_NE_roots,Key,a,20120513_202808,108,206,138,17,0.41064638783269963,0.32628398791540786,0.36363636363636365,0.42087542087542085,0.39225589225589225,299,300,632641,26797
[acquired],10,2,ILP_config_NE_roots,Key,a,20120513_202808,73,271,122,8,0.35960591133004927,0.20738636363636365,0.26306306306306304,0.2918918918918919,0.2774774774774775,295,300,79825,26579
[acquired],10,1,Paum,Key,a,20120513_202808,196,109,203,26,0.4611764705882353,0.5921450151057401,0.5185185185185185,0.5873015873015872,0.5529100529100528,-1,-1,9792,11961
[acquired],10,2,Paum,Key,a,20120513_202808,163,149,188,40,0.41687979539641945,0.4630681818181818,0.4387617765814266,0.5464333781965006,0.4925975773889636,-1,-1,10178,11735
[purchabr],11,1,Paum,Key,a,20120513_205924,370,262,496,61,0.39913700107874867,0.5339105339105339,0.4567901234567901,0.5320987654320989,0.49444444444444446,-1,-1,9167,13559
[purchabr],11,2,Paum,Key,a,20120513_205924,301,217,418,52,0.39040207522697795,0.5280701754385965,0.4489187173750932,0.5264727815063386,0.4876957494407159,-1,-1,14052,14480
[purchabr],11,1,ILP_config_NE_roots,Key,a,20120513_205924,31,660,86,2,0.2605042016806723,0.044733044733044736,0.07635467980295567,0.0812807881773399,0.07881773399014778,356,300,103604,28002
[purchabr],11,2,ILP_config_NE_roots,Key,a,20120513_205924,80,481,139,9,0.3508771929824561,0.14035087719298245,0.20050125313283207,0.22305764411027568,0.21177944862155387,470,300,1647489,29092
[purchaser],12,1,Paum,Key,a,20120513_212443,189,119,173,15,0.5013262599469496,0.5851393188854489,0.54,0.5828571428571429,0.5614285714285714,-1,-1,13640,14746
[purchaser],12,2,Paum,Key,a,20120513_212443,169,111,168,21,0.4720670391061452,0.5614617940199336,0.5128983308042488,0.5766312594840668,0.5447647951441579,-1,-1,10469,12165
[purchaser],12,1,ILP_config_NE_roots,Key,a,20120513_212443,63,256,131,4,0.3181818181818182,0.19504643962848298,0.24184261036468332,0.2571976967370441,0.2495201535508637,289,300,83993,32764
[purchaser],12,2,ILP_config_NE_roots,Key,a,20120513_212443,111,174,116,16,0.4567901234567901,0.3687707641196013,0.40808823529411764,0.46691176470588236,0.4375,308,300,1306695,28353
[seller],13,1,ILP_config_NE_roots,Key,a,20120513_214854,19,113,46,3,0.27941176470588236,0.14074074074074075,0.187192118226601,0.21674876847290642,0.20197044334975373,126,300,523544,36184
[seller],13,2,ILP_config_NE_roots,Key,a,20120513_214854,21,107,31,4,0.375,0.1590909090909091,0.22340425531914895,0.26595744680851063,0.2446808510638298,129,300,800916,27147
[seller],13,1,Paum,Key,a,20120513_214854,36,93,108,6,0.24,0.26666666666666666,0.2526315789473685,0.2947368421052632,0.27368421052631586,-1,-1,12825,13001
[seller],13,2,Paum,Key,a,20120513_214854,40,88,78,4,0.32786885245901637,0.30303030303030304,0.31496062992125984,0.3464566929133858,0.3307086614173228,-1,-1,9887,10348
[sellerabr],14,1,Paum,Key,a,20120513_221042,42,156,136,9,0.22459893048128343,0.2028985507246377,0.2131979695431472,0.25888324873096447,0.23604060913705582,-1,-1,10494,11068
[sellerabr],14,2,Paum,Key,a,20120513_221042,39,175,108,10,0.2484076433121019,0.17410714285714285,0.2047244094488189,0.2572178477690289,0.23097112860892388,-1,-1,9145,12258
[sellerabr],14,1,ILP_config_NE_roots,Key,a,20120513_221042,10,196,20,1,0.3225806451612903,0.04830917874396135,0.08403361344537816,0.09243697478991596,0.08823529411764705,114,300,399989,24744
[sellerabr],14,2,ILP_config_NE_roots,Key,a,20120513_221042,13,210,26,1,0.325,0.05803571428571429,0.0984848484848485,0.10606060606060606,0.10227272727272728,127,300,797758,27649
[acqabr],15,1,Paum,Key,a,20120513_225013,373,295,436,97,0.4116997792494481,0.4875816993464052,0.4464392579293836,0.5625374027528426,0.5044883303411131,-1,-1,9417,13534
